0,81
1,81
2,93
3,93
4,93
5,93
6,94
7,94
8,87
9,87
10,85
11,85
12,92
13,92
14,78
15,78
16,85
17,85
18,81
19,81
20,93
21,93
22,92
23,92
24,94
25,94
26,78
27,78
28,99
29,99
30,78
31,78
32,92
33,92
34,99
35,99
36,83
37,83
38,92
39,92
40,93
41,93
42,96
43,96
44,109
45,109
46,91
47,91
48,104
49,104
50,105
51,105
52,90
53,90
54,93
55,93
56,81
57,81
58,93
59,93
60,94
61,94
62,91
63,91
64,92
65,92
66,100
67,100
68,106
69,106
70,92
71,92
72,93
73,93
74,82
75,82
76,92
77,92
78,81
79,81
80,105
81,105
82,102
83,102
84,96
85,96
86,88
87,88
88,102
89,102
90,92
91,92
92,98
93,98
94,76
95,76
96,67
97,67
98,70
99,70
100,69
101,69
102,67
103,67
104,67
105,67
106,79
107,79
108,95
109,95
110,73
111,73
112,75
113,75
114,75
115,75
116,76
117,76
118,74
119,74
120,51
121,51
122,51
123,51
124,51
125,51
126,51
127,51
128,51
129,51
130,51
131,51
132,51
133,51
134,51
135,51
136,51
137,51
138,51
139,51
140,51
141,51
