0,797
1,797
2,952
3,952
4,952
5,952
6,975
7,975
8,879
9,879
10,852
11,852
12,946
13,946
14,754
15,754
16,848
17,848
18,797
19,797
20,961
21,961
22,951
23,951
24,975
25,975
26,755
27,755
28,1042
29,1042
30,754
31,754
32,946
33,946
34,1043
35,1043
36,812
37,812
38,948
39,948
40,961
41,961
42,994
43,994
44,1178
45,1178
46,924
47,924
48,1114
49,1114
50,1123
51,1123
52,914
53,914
54,952
55,952
56,794
57,794
58,952
59,952
60,971
61,971
62,929
63,929
64,947
65,947
66,1051
67,1051
68,1138
69,1138
70,944
71,944
72,958
73,958
74,804
75,804
76,951
77,951
78,796
79,796
80,1120
81,1120
82,1085
83,1085
84,999
85,999
86,894
87,894
88,1082
89,1082
90,949
91,949
92,1027
93,1027
94,715
95,715
96,591
97,591
98,638
99,638
100,619
101,619
102,596
103,596
104,594
105,594
106,762
107,762
108,989
109,989
110,684
111,684
112,709
113,709
114,702
115,702
116,717
117,717
118,691
119,691
120,373
121,373
122,373
123,373
124,373
125,373
126,376
127,376
128,373
129,373
130,374
131,374
132,373
133,373
134,373
135,373
136,374
137,374
138,373
139,373
140,373
141,373
